longitude	latitude	pollinator
-113.9606217	35.88290408	antithetica
-113.9423049	35.90006259	antithetica
-113.9300488	35.90944613	antithetica
-114.0793889	35.74448659	antithetica
-114.4416336	35.6508034	antithetica
-114.4594663	35.67095207	antithetica
-114.4688874	35.68702755	antithetica
-114.5130592	35.77146106	antithetica
-118.5104455	34.77325495	synthetica
-118.5038789	34.77328828	synthetica
-118.4849789	34.75507162	synthetica
-118.4853789	34.75540495	synthetica
-118.4853789	34.75540495	synthetica
-118.4855122	34.75545495	synthetica
-118.4856289	34.75553828	synthetica
-118.4859622	34.75558828	synthetica
-118.4861289	34.75582162	synthetica
-118.4864289	34.75618828	synthetica
-118.4850455	34.75515495	synthetica
-118.4865122	34.75623828	synthetica
-118.1189288	34.53600494	synthetica
-118.1274455	34.54412161	synthetica
-118.0532288	34.58028828	synthetica
-118.0453288	34.57855495	synthetica
-118.0493791	34.57967495	synthetica
-118.0467071	34.57937095	synthetica
-117.9813954	34.52113828	synthetica
-117.9835051	34.52150095	synthetica
-117.9791371	34.52154895	synthetica
-117.9710731	34.52162895	synthetica
-117.9747371	34.52158095	synthetica
-117.9658771	34.52144695	synthetica
-117.9660631	34.52145395	synthetica
-117.9578881	34.52143795	synthetica
-117.9512032	34.52140194	synthetica
-117.9402241	34.52134195	synthetica
-117.9365331	34.52128995	synthetica
-117.9225751	34.50678195	synthetica
-117.9225751	34.50678195	synthetica
-117.9202071	34.50678295	synthetica
-117.9204771	34.50678295	synthetica
-117.9301271	34.51406195	synthetica
-117.9296606	34.51361226	synthetica
-117.9138551	34.50675095	synthetica
-117.9095191	34.50670295	synthetica
-117.9074231	34.50671895	synthetica
-117.9051351	34.50671895	synthetica
-117.9032151	34.50670295	synthetica
-117.9007181	34.50668695	synthetica
-117.8992941	34.50665495	synthetica
-117.8977581	34.50662295	synthetica
-117.8963501	34.50660695	synthetica
-117.9062391	34.50671895	synthetica
-117.9054731	34.50671895	synthetica
-117.8875341	34.50659095	synthetica
-117.8920141	34.50659095	synthetica
-117.8913501	34.50659095	synthetica
-117.8789001	34.50653996	synthetica
-117.8679235	34.50645714	synthetica
-117.8556501	34.50635696	synthetica
-117.856947	34.50636476	synthetica
-117.8491331	34.50630296	synthetica
-117.8475651	34.50628696	synthetica
-117.8351651	34.50601496	synthetica
-117.8178041	34.50580696	synthetica
-117.8169721	34.50582296	synthetica
-117.8241892	34.50588357	synthetica
-117.8237221	34.50587796	synthetica
-117.8090201	34.49987196	synthetica
-117.8073081	34.49878396	synthetica
-117.7966511	34.49839996	synthetica
-117.7943631	34.49838396	synthetica
-117.7999461	34.49840596	synthetica
-117.7920591	34.49841596	synthetica
-117.7837711	34.49844796	synthetica
-117.7845951	34.49844496	synthetica
-117.7817551	34.49839996	synthetica
-117.7693141	34.49836996	synthetica
-117.7699331	34.49837096	synthetica
-117.7788181	34.49839296	synthetica
-117.7683941	34.49836796	synthetica
-117.7649061	34.49838396	synthetica
-117.7610711	34.49837996	synthetica
-117.7484421	34.49836796	synthetica
-117.7477221	34.49833596	synthetica
-117.7500951	34.49836796	synthetica
-117.7386971	34.49833596	synthetica
-117.7218161	34.48860796	synthetica
-117.7281211	34.49241596	synthetica
-117.7278331	34.49217596	synthetica
-117.7275291	34.49203196	synthetica
-117.7296506	34.49327223	synthetica
-117.7090691	34.48117496	synthetica
-117.7122801	34.48310496	synthetica
