xUTM,yUTM,Forest,Bird,Zones
1563511.589,11948202.87,956,0,1
1233511.589,11838202.87,957,0,1
1283511.589,11868202.87,962,0,1
1403511.589,11928202.87,962,0,1
1633511.589,12138202.87,967,0.216223664,1
1243511.589,11838202.87,968,0,1
1323511.589,12018202.87,968,0,1
1343511.589,11838202.87,976,0.044447415,1
1353511.589,11948202.87,980,0,1
1173511.589,11828202.87,982,0,1
1243511.589,11828202.87,989,0,1
1303511.589,11788202.87,999,0,1
1263511.589,11918202.87,1000,0,2
1213511.589,11878202.87,1012,0,2
1253511.589,11838202.87,1013,0.022993609,2
1093511.589,11738202.87,1016,0,2
1543511.589,11958202.87,1020,0.045260131,2
1333511.589,11828202.87,1026,0.012738519,2
1623511.589,11998202.87,1031,0,2
1143511.589,11808202.87,1031,0.054071432,2
1153511.589,11808202.87,1033,0.044447415,2
1683511.589,12118202.87,1034,0,2
1573511.589,11958202.87,1042,0,2
1283511.589,11828202.87,1044,0.046520925,2
1323511.589,12008202.87,1045,0.189239241,2
1183511.589,11828202.87,1052,0.039220713,2
1303511.589,11928202.87,1052,0.074105115,2
1243511.589,12158202.87,1052,0.717839793,2
1163511.589,11798202.87,1064,0.023530963,2
1333511.589,11958202.87,1068,0.109195154,2
1253511.589,11878202.87,1069,0.039220713,2
1413511.589,11848202.87,1073,0,2
1283511.589,11928202.87,1073,0.039220713,2
1293511.589,11868202.87,1078,0.084387103,2
1263511.589,11858202.87,1084,0,2
1323511.589,11808202.87,1087,0,2
1233511.589,11898202.87,1091,0,2
1223511.589,11838202.87,1092,0,2
1333511.589,11818202.87,1095,0,2
1293511.589,11828202.87,1097,0,2
1323511.589,11858202.87,1103,0.040008864,2
1213511.589,11958202.87,1105,0.09531018,2
1323511.589,12058202.87,1108,0.182321557,2
1683511.589,12098202.87,1116,0,2
1203511.589,11868202.87,1120,0.035087182,2
1093511.589,12178202.87,1126,0.21511138,2
1653511.589,12118202.87,1130,0.113328685,2
1363511.589,11928202.87,1133,0,2
1213511.589,12158202.87,1148,0.773191427,2
1463511.589,12208202.87,1153,0.693147181,2
1163511.589,12158202.87,1157,0,2
1213511.589,11908202.87,1163,0.076961041,2
1193511.589,11778202.87,1165,0,2
1293511.589,11918202.87,1168,0,2
1373511.589,11858202.87,1169,0,2
1203511.589,11768202.87,1176,0.039220713,2
1503511.589,11958202.87,1178,0.076961041,2
1213511.589,11968202.87,1181,0.067443672,2
1343511.589,11948202.87,1187,0,2
1153511.589,11788202.87,1188,0.042561281,2
1353511.589,11888202.87,1190,0,2
1263511.589,11828202.87,1191,0,2
1303511.589,11908202.87,1193,0.113328685,2
1353511.589,11968202.87,1196,0.040825195,2
1313511.589,11828202.87,1198,0,2
1213511.589,11988202.87,1205,0.216223664,2
1273511.589,11888202.87,1218,0,2
1213511.589,11778202.87,1219,0.076961041,2
1333511.589,12008202.87,1219,0.101780114,2
1243511.589,11808202.87,1222,0,2
1263511.589,12018202.87,1227,0.044447415,2
1263511.589,11928202.87,1242,0,2
1263511.589,11848202.87,1244,0,2
1293511.589,11898202.87,1253,0,2
1123511.589,12178202.87,1253,0.21511138,2
1703511.589,12108202.87,1255,0.040825195,2
1663511.589,12138202.87,1257,0.037738847,2
1193511.589,11848202.87,1262,0.035087182,2
1233511.589,12158202.87,1266,0.133533893,2
1243511.589,12238202.87,1267,0.139761942,2
1273511.589,11908202.87,1271,0,2
1403511.589,11848202.87,1273,0,2
1573511.589,11968202.87,1282,0,2
1223511.589,11978202.87,1282,0.167055623,2
1353511.589,11938202.87,1288,0,2
1243511.589,11948202.87,1294,0,2
1683511.589,12058202.87,1300,0.048790164,2
1613511.589,12138202.87,1305,0.074105115,2
1223511.589,11798202.87,1308,0,2
1273511.589,11878202.87,1311,0,2
1303511.589,11878202.87,1312,0.037738847,2
1303511.589,11888202.87,1316,0,2
1303511.589,11848202.87,1318,0.074105115,2
1193511.589,11808202.87,1322,0,2
1533511.589,11958202.87,1327,0.025979589,2
1153511.589,11798202.87,1333,0,2
1343511.589,11958202.87,1340,0.154153537,2
1313511.589,11898202.87,1346,0.264692322,2
1383511.589,11848202.87,1360,0,2
1293511.589,11998202.87,1361,0.037738847,2
1303511.589,11918202.87,1367,0.133533893,2
1203511.589,11788202.87,1371,0,2
1303511.589,11898202.87,1373,0.031750573,2
1203511.589,12158202.87,1376,0.800120894,2
1113511.589,12128202.87,1380,0.185649347,2
1603511.589,12128202.87,1384,0.064541646,2
1293511.589,11838202.87,1387,0.047627584,2
1233511.589,11978202.87,1388,0.133533893,2
1173511.589,11848202.87,1393,0.068994205,2
1413511.589,11938202.87,1393,0.125980456,2
1313511.589,11938202.87,1394,0,2
1233511.589,11948202.87,1402,0,2
1153511.589,12148202.87,1408,0.265704832,2
1233511.589,11908202.87,1410,0.040825195,2
1423511.589,11948202.87,1412,0.120632306,2
1443511.589,12208202.87,1413,0.379490674,2
1203511.589,11808202.87,1417,0,2
1363511.589,11978202.87,1418,0,2
1413511.589,11948202.87,1419,0.021056743,2
1213511.589,11828202.87,1421,0,2
1283511.589,11888202.87,1423,0.063181351,2
1373511.589,11958202.87,1426,0.037738847,2
1543511.589,11978202.87,1429,0,2
1673511.589,12138202.87,1431,0,2
1423511.589,11988202.87,1432,0,2
1343511.589,11888202.87,1433,0.274201618,2
1253511.589,11848202.87,1446,0,2
1203511.589,11838202.87,1451,0.039220713,2
1573511.589,12148202.87,1451,0.143104177,2
1343511.589,12188202.87,1463,0.330238562,2
1403511.589,12048202.87,1468,0.53467886,2
1233511.589,11958202.87,1470,0.080039631,2
1373511.589,11848202.87,1477,0,2
1373511.589,11968202.87,1489,0.071455171,2
1363511.589,11848202.87,1491,0,2
1343511.589,11968202.87,1494,0.074105115,2
1373511.589,11938202.87,1504,0,2
1283511.589,11878202.87,1504,0.031750573,2
1223511.589,12158202.87,1508,0.749234465,2
1583511.589,11988202.87,1509,0,2
1213511.589,11898202.87,1514,0.039220713,2
1353511.589,11838202.87,1519,0.199989554,2
1163511.589,12138202.87,1521,0.626457013,2
1693511.589,12108202.87,1523,0,2
1293511.589,12208202.87,1529,0.364643114,2
1313511.589,11888202.87,1533,0,2
1243511.589,11958202.87,1533,0.060624622,2
1223511.589,11968202.87,1535,0.035714574,2
1233511.589,11988202.87,1548,0.062523993,2
1293511.589,11818202.87,1549,0,2
1293511.589,11928202.87,1549,0.035087182,2
1373511.589,11948202.87,1550,0,2
1303511.589,11858202.87,1560,0,2
1203511.589,11898202.87,1563,0,2
1253511.589,11948202.87,1567,0.074105115,2
1753511.589,12108202.87,1574,0.148420005,2
1203511.589,11778202.87,1575,0.071455171,2
1233511.589,12048202.87,1579,0.609064239,2
1223511.589,11828202.87,1582,0,2
1313511.589,11818202.87,1587,0.09531018,2
1233511.589,11968202.87,1592,0.21511138,2
1283511.589,11788202.87,1594,0,2
1203511.589,11968202.87,1596,0.182321557,2
1403511.589,12038202.87,1604,0.577096394,2
1203511.589,11978202.87,1605,0.379490674,2
1283511.589,11818202.87,1611,0.025979589,2
1143511.589,12128202.87,1611,0.306373789,2
1253511.589,11858202.87,1614,0.036370501,2
1273511.589,11938202.87,1621,0.036370501,2
1683511.589,12088202.87,1623,0,2
1533511.589,11978202.87,1626,0.154153537,2
1243511.589,11908202.87,1633,0.21511138,2
1393511.589,11998202.87,1641,0.108217431,2
1713511.589,12148202.87,1642,0.113328685,2
1463511.589,11988202.87,1646,0.029850022,2
1273511.589,11928202.87,1647,0,2
1223511.589,11788202.87,1664,0,2
1213511.589,11948202.87,1664,0.044447415,2
1243511.589,11928202.87,1673,0.113328685,2
1213511.589,11818202.87,1675,0,2
1393511.589,11948202.87,1686,0.182321557,2
1653511.589,12108202.87,1690,0.040825195,2
1203511.589,11848202.87,1697,0.027401136,2
1293511.589,11858202.87,1708,0,2
1683511.589,12138202.87,1719,0.042561281,2
1243511.589,11978202.87,1747,0.105359516,2
1263511.589,11878202.87,1749,0,2
1733511.589,12098202.87,1754,0.039220713,2
1343511.589,11928202.87,1755,0,2
1373511.589,11838202.87,1759,0,2
1233511.589,11938202.87,1763,0.105359516,2
1163511.589,12148202.87,1764,0.306454758,2
1433511.589,11988202.87,1769,0.030771659,2
1313511.589,11858202.87,1771,0,2
1363511.589,11988202.87,1774,0.09531018,2
1523511.589,11998202.87,1782,0,2
1573511.589,11988202.87,1782,0.041669635,2
1253511.589,12028202.87,1797,0.039220713,2
1753511.589,12128202.87,1799,0.036370501,2
1383511.589,11988202.87,1799,0.044447415,2
1243511.589,11918202.87,1803,0.101780114,2
1323511.589,11818202.87,1815,0.025316808,2
1223511.589,11908202.87,1822,0.113328685,2
1343511.589,11868202.87,1824,0,2
1313511.589,11868202.87,1835,0.117783036,2
1263511.589,11798202.87,1836,0.037738847,2
1313511.589,11928202.87,1842,0.039220713,2
1523511.589,11968202.87,1856,0.143104177,2
1313511.589,12208202.87,1861,0.133533893,2
1113511.589,12188202.87,1881,0.356673944,2
1293511.589,11848202.87,1886,0.028169488,2
1463511.589,11968202.87,1890,0.268262222,2
1223511.589,11918202.87,1892,0,2
1313511.589,11948202.87,1895,0,2
1383511.589,11838202.87,1900,0,2
1253511.589,12198202.87,1907,0.348309047,2
1223511.589,12008202.87,1910,0.374737823,2
1253511.589,11798202.87,1920,0,2
1563511.589,11988202.87,1925,0.148420005,2
1573511.589,11998202.87,1935,0.117783036,2
1323511.589,11978202.87,1939,0.058844214,2
1723511.589,12158202.87,1942,0.028169488,2
1423511.589,11828202.87,1947,0,2
1243511.589,11968202.87,1951,0.148420005,2
1443511.589,11948202.87,1955,0.029850022,2
1333511.589,11858202.87,1956,0.029850022,2
1303511.589,11868202.87,1969,0.031750573,2
1303511.589,11938202.87,1971,0.036370501,2
1233511.589,11928202.87,1971,0.044447415,2
1373511.589,12008202.87,1972,0.113328685,2
1393511.589,11838202.87,1976,0,2
1273511.589,12008202.87,1977,0,2
1303511.589,11828202.87,1977,0.255935955,2
1213511.589,11868202.87,1984,0.231801959,2
1183511.589,11778202.87,1990,0,2
1113511.589,12148202.87,1990,0.039220713,2
1323511.589,11938202.87,1991,0.060624622,2
1403511.589,11938202.87,1993,0.164301839,2
1373511.589,11978202.87,1993,0.262364264,2
1413511.589,11978202.87,1994,0,2
1753511.589,12118202.87,1998,0.154153537,2
1353511.589,11978202.87,2004,0.072320662,2
