species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Wallrothiella.congregata,Pyrenoid,Thin,No,1.222222222,10.93421506,Wallrothiella,Amplistromataceae,Sordariales,Sordariomycetes,Ascomycota
Vararia.investiens,Resupinate,Thin,No,3.076923077,82.95768101,Vararia,Lachnocladiaceae,Russulales,Agaricomycetes,Basidiomycota
Veluticeps.abietina,Pileate,Thin,No,2.444444444,174.9474409,Veluticeps,Gloophyllaceae,Gloeophyllales,Agaricomycetes,Basidiomycota
Xenasma.pulverulentum,Resupinate,Thin,Yes,1.666666667,282.7433388,Xenasma,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenasma.rimicola,Resupinate,Thin,Yes,1.6,306.7961576,Xenasma,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenasma.tulasnelloideum,Resupinate,Thin,Yes,1.222222222,87.47372045,Xenasma,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenasmatella.borealis,Resupinate,Thin,Yes,1.692307692,45.62672455,Xenasmatella,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenasmatella.subflavidocrisea,Resupinate,Thin,Yes,1.777777778,15.90431281,Xenasmatella,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenasmatella.vaga,Resupinate,Thin,Yes,1.235294118,74.47783521,Xenasmatella,Xenasmataceae,Polyporales,Agaricomycetes,Basidiomycota
Xenolachne.longicornis,Discoid,Thin,No,3.230769231,87.10556506,Xenolachne,Tremellaceae,Tremellales,Tremellomycetes,Basidiomycota
Xeromphalina.campanella,Gilled,Thin,No,2,67.34789251,Xeromphalina,Mycenaceae,Agaricales,Agaricomycetes,Basidiomycota
Xeromphalina.picta,Gilled,Thin,No,1.666666667,119.2823461,Xeromphalina,Mycenaceae,Agaricales,Agaricomycetes,Basidiomycota
Xylodon.asperus,Resupinate,Thin,No,1.466666667,60.7456392,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.borealis,Resupinate,Thin,No,1.333333333,55.22330836,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.brevisetus,Resupinate,Thin,No,1.384615385,37.33095645,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.detriticus,Resupinate,Thick,No,1.235294118,74.47783521,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.nespori,Resupinate,Thin,No,2.333333333,20.87441056,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.radula,Resupinate,Thin,No,2.769230769,74.66191291,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.rimosissimus,Resupinate,Thin,No,1.466666667,60.7456392,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Xylodon.sambuci,Resupinate,Thick,No,1.4,57.98447378,Xylodon,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
