Temp1,Temp2,Temp3
1.006831328,0.628083132,0.714917487
0.507178384,0.394765963,-0.171711689
0.507530658,0.37039604,-0.170080975
-0.090137229,-0.072416062,-0.233373837
-0.074608069,-0.100505053,-0.228437429
0.697450909,0.660991276,0.972203297
0.697582519,0.661060904,0.972242963
0.698459817,0.661736611,0.972727527
-1.849126407,-1.072825138,-1.430097581
-1.853570605,-1.08050732,-1.44566573
-1.753031271,-0.8974214,-1.608185029
-1.752989149,-0.897460009,-1.608143689
-0.49270435,0.292881234,-0.279181111
0.227413317,-0.384128142,-0.439285101
0.758828814,0.854802817,-0.1179625
0.759373496,0.855272615,-0.117644101
0.268008155,0.78751519,1.267976001
0.268272654,0.787910946,1.268185689
0.268272654,0.787910946,1.268185689
-0.328588143,-0.313156488,0.452799552
-0.324542832,-0.308512206,0.445585505
-0.320403009,-0.303924654,0.438690716
-0.984339359,-1.743681603,-1.659144714
-0.991027407,-1.737407235,-1.657184079
-1.169566795,-0.095737217,-0.702795401
-1.169358774,-0.09552791,-0.702627363
-1.154058382,-0.097891395,-0.703971858
-0.014942653,-0.068207934,0.878208985
-0.005823056,-0.07388175,0.885007718
-0.006095831,-0.074161921,0.884834558
0.461079281,0.832258529,0.794537488
0.461243075,0.832620584,0.794723768
-1.970072655,-0.071982306,-0.163043866
-1.969772814,-0.07170815,-0.162818497
-1.202386466,-0.596126947,-0.463815261
-1.198918864,-0.59997336,-0.456181581
-1.199281949,-0.600109691,-0.456336518
0.486334009,0.789308527,0.658874746
0.486467314,0.789481844,0.659008503
0.48707373,0.790246708,0.659625927
0.006008663,-0.076761841,0.890294474
-1.861976607,0.033152497,-0.510735576
-1.8607731,0.034506846,-0.509694044
-0.913298204,-0.687603611,-0.438840132
-0.913023831,-0.687475677,-0.438566333
-0.909054646,-0.690047886,-0.44030276
-0.111578101,-0.244929638,-0.980405383
-0.109529275,-0.249691489,-0.966803859
-0.109637043,-0.249698467,-0.966856552
-0.590064468,-0.685016705,-0.163614534
-0.60139374,-0.727138679,-0.153233932
0.325548173,0.110211169,0.705123776
0.325651732,0.110339005,0.705217826
0.326145281,0.110969667,0.705667543
0.725018821,0.633274002,1.137447605
