"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","datasetstudy","forceday","forcenight","photonight"
"caffarra11a","exp1","Betula","pubescens","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",2.6,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",4.8,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Fagus","sylvatica","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",4.03,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",10.62,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp3","Betula","pubescens","yes",52.32,-6.934,"europe",2003,"","","3","","0","18","","16","8","daystobudburst","timeonly",38.43,"daystobudburst",0,0,0,NA,NA,NA,0,0,0,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Fagus","sylvatica","yes",52.32,-6.934,"europe",2003,"","","3","","0","18","","16","8","daystobudburst","timeonly",57.4,"daystobudburst",0,0,0,NA,NA,NA,0,0,0,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Salix","smithiana","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","8","16","daystobudburst","timeonly",2.56,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,16
"caffarra11a","exp3","Salix","smithiana","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","16","8","daystobudburst","timeonly",1.6,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Fagus","sylvatica","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","8","16","daystobudburst","timeonly",22.32,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,16
"caffarra11a","exp3","Betula","pubescens","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","16","8","daystobudburst","timeonly",3.67,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Fagus","sylvatica","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","16","8","daystobudburst","timeonly",15.31,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,8
